1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D20000004041D021
Is Mission Active?  true
Mission Start:  Fri Jul 13 00:16:00 PDT 2018
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  13074
Total Samples:  22724
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
13/07/18 12:16:00 AM,C,13
13/07/18 12:46:00 AM,C,13.5
13/07/18 1:16:00 AM,C,13.5
13/07/18 1:46:00 AM,C,13.5
13/07/18 2:16:00 AM,C,13
13/07/18 2:46:00 AM,C,13
13/07/18 3:16:00 AM,C,13
13/07/18 3:46:00 AM,C,13
13/07/18 4:16:00 AM,C,13
13/07/18 4:46:00 AM,C,13
13/07/18 5:16:00 AM,C,13
13/07/18 5:46:00 AM,C,13
13/07/18 6:16:00 AM,C,13
13/07/18 6:46:00 AM,C,13
13/07/18 7:16:00 AM,C,13
13/07/18 7:46:00 AM,C,13
13/07/18 8:16:00 AM,C,13
13/07/18 8:46:00 AM,C,13.5
13/07/18 9:16:00 AM,C,14
13/07/18 9:46:00 AM,C,14.5
13/07/18 10:16:00 AM,C,16.5
13/07/18 10:46:00 AM,C,19
13/07/18 11:16:00 AM,C,20.5
13/07/18 11:46:00 AM,C,21
13/07/18 12:16:00 PM,C,23
13/07/18 12:46:00 PM,C,25
13/07/18 1:16:00 PM,C,27
13/07/18 1:46:00 PM,C,28.5
13/07/18 2:16:00 PM,C,30
13/07/18 2:46:00 PM,C,22
13/07/18 3:16:00 PM,C,14.5
13/07/18 3:46:00 PM,C,13
13/07/18 4:16:00 PM,C,13
13/07/18 4:46:00 PM,C,13
13/07/18 5:16:00 PM,C,13
13/07/18 5:46:00 PM,C,12.5
13/07/18 6:16:00 PM,C,13
13/07/18 6:46:00 PM,C,13
13/07/18 7:16:00 PM,C,12
13/07/18 7:46:00 PM,C,12.5
13/07/18 8:16:00 PM,C,12.5
13/07/18 8:46:00 PM,C,12.5
13/07/18 9:16:00 PM,C,12
13/07/18 9:46:00 PM,C,12
13/07/18 10:16:00 PM,C,12
13/07/18 10:46:00 PM,C,12
13/07/18 11:16:00 PM,C,12
13/07/18 11:46:00 PM,C,12.5
14/07/18 12:16:00 AM,C,12.5
14/07/18 12:46:00 AM,C,12.5
14/07/18 1:16:00 AM,C,12.5
14/07/18 1:46:00 AM,C,12.5
14/07/18 2:16:00 AM,C,12.5
14/07/18 2:46:00 AM,C,12.5
14/07/18 3:16:00 AM,C,12.5
14/07/18 3:46:00 AM,C,12.5
14/07/18 4:16:00 AM,C,13
14/07/18 4:46:00 AM,C,13
14/07/18 5:16:00 AM,C,13
14/07/18 5:46:00 AM,C,13
14/07/18 6:16:00 AM,C,12.5
14/07/18 6:46:00 AM,C,12.5
14/07/18 7:16:00 AM,C,12.5
14/07/18 7:46:00 AM,C,12.5
14/07/18 8:16:00 AM,C,12.5
14/07/18 8:46:00 AM,C,13
14/07/18 9:16:00 AM,C,13
14/07/18 9:46:00 AM,C,14
14/07/18 10:16:00 AM,C,16
14/07/18 10:46:00 AM,C,19
14/07/18 11:16:00 AM,C,20.5
14/07/18 11:46:00 AM,C,22
14/07/18 12:16:00 PM,C,22.5
14/07/18 12:46:00 PM,C,24
14/07/18 1:16:00 PM,C,25
14/07/18 1:46:00 PM,C,25.5
14/07/18 2:16:00 PM,C,26.5
14/07/18 2:46:00 PM,C,26.5
14/07/18 3:16:00 PM,C,26.5
14/07/18 3:46:00 PM,C,15
14/07/18 4:16:00 PM,C,14.5
14/07/18 4:46:00 PM,C,14.5
14/07/18 5:16:00 PM,C,14
14/07/18 5:46:00 PM,C,13.5
14/07/18 6:16:00 PM,C,13
14/07/18 6:46:00 PM,C,13.5
14/07/18 7:16:00 PM,C,13
14/07/18 7:46:00 PM,C,12.5
14/07/18 8:16:00 PM,C,12.5
14/07/18 8:46:00 PM,C,12.5
14/07/18 9:16:00 PM,C,12.5
14/07/18 9:46:00 PM,C,12.5
14/07/18 10:16:00 PM,C,12
14/07/18 10:46:00 PM,C,12
14/07/18 11:16:00 PM,C,12
14/07/18 11:46:00 PM,C,12
15/07/18 12:16:00 AM,C,12.5
15/07/18 12:46:00 AM,C,12.5
15/07/18 1:16:00 AM,C,12.5
15/07/18 1:46:00 AM,C,12.5
15/07/18 2:16:00 AM,C,12.5
15/07/18 2:46:00 AM,C,12.5
15/07/18 3:16:00 AM,C,12.5
15/07/18 3:46:00 AM,C,13
15/07/18 4:16:00 AM,C,13
15/07/18 4:46:00 AM,C,13
15/07/18 5:16:00 AM,C,13
15/07/18 5:46:00 AM,C,13
15/07/18 6:16:00 AM,C,13
15/07/18 6:46:00 AM,C,12.5
15/07/18 7:16:00 AM,C,13
15/07/18 7:46:00 AM,C,13
15/07/18 8:16:00 AM,C,13
15/07/18 8:46:00 AM,C,13
15/07/18 9:16:00 AM,C,13
15/07/18 9:46:00 AM,C,13.5
15/07/18 10:16:00 AM,C,13.5
15/07/18 10:46:00 AM,C,15
15/07/18 11:16:00 AM,C,19.5
15/07/18 11:46:00 AM,C,21
15/07/18 12:16:00 PM,C,22
15/07/18 12:46:00 PM,C,23
15/07/18 1:16:00 PM,C,23.5
15/07/18 1:46:00 PM,C,24
15/07/18 2:16:00 PM,C,24.5
15/07/18 2:46:00 PM,C,25
15/07/18 3:16:00 PM,C,25.5
15/07/18 3:46:00 PM,C,26
15/07/18 4:16:00 PM,C,14.5
15/07/18 4:46:00 PM,C,13.5
15/07/18 5:16:00 PM,C,13.5
15/07/18 5:46:00 PM,C,13.5
15/07/18 6:16:00 PM,C,13
15/07/18 6:46:00 PM,C,13
15/07/18 7:16:00 PM,C,13
15/07/18 7:46:00 PM,C,13
15/07/18 8:16:00 PM,C,13
15/07/18 8:46:00 PM,C,12
15/07/18 9:16:00 PM,C,12.5
15/07/18 9:46:00 PM,C,12.5
15/07/18 10:16:00 PM,C,12.5
15/07/18 10:46:00 PM,C,12.5
15/07/18 11:16:00 PM,C,13
15/07/18 11:46:00 PM,C,12.5
16/07/18 12:16:00 AM,C,12.5
16/07/18 12:46:00 AM,C,12.5
16/07/18 1:16:00 AM,C,12.5
16/07/18 1:46:00 AM,C,12.5
16/07/18 2:16:00 AM,C,12.5
16/07/18 2:46:00 AM,C,12.5
16/07/18 3:16:00 AM,C,12.5
16/07/18 3:46:00 AM,C,12.5
16/07/18 4:16:00 AM,C,13
16/07/18 4:46:00 AM,C,13
16/07/18 5:16:00 AM,C,13
16/07/18 5:46:00 AM,C,13
16/07/18 6:16:00 AM,C,13
16/07/18 6:46:00 AM,C,13
16/07/18 7:16:00 AM,C,13
16/07/18 7:46:00 AM,C,13
16/07/18 8:16:00 AM,C,13
16/07/18 8:46:00 AM,C,13
16/07/18 9:16:00 AM,C,13
16/07/18 9:46:00 AM,C,13.5
16/07/18 10:16:00 AM,C,13.5
16/07/18 10:46:00 AM,C,14
16/07/18 11:16:00 AM,C,13.5
16/07/18 11:46:00 AM,C,17.5
16/07/18 12:16:00 PM,C,20.5
16/07/18 12:46:00 PM,C,23.5
16/07/18 1:16:00 PM,C,25
16/07/18 1:46:00 PM,C,27.5
16/07/18 2:16:00 PM,C,29
16/07/18 2:46:00 PM,C,30.5
16/07/18 3:16:00 PM,C,31
16/07/18 3:46:00 PM,C,25
16/07/18 4:16:00 PM,C,25
16/07/18 4:46:00 PM,C,14
16/07/18 5:16:00 PM,C,14.5
16/07/18 5:46:00 PM,C,13.5
16/07/18 6:16:00 PM,C,13.5
16/07/18 6:46:00 PM,C,13
16/07/18 7:16:00 PM,C,13
16/07/18 7:46:00 PM,C,12.5
16/07/18 8:16:00 PM,C,13
16/07/18 8:46:00 PM,C,13.5
16/07/18 9:16:00 PM,C,12
16/07/18 9:46:00 PM,C,12
16/07/18 10:16:00 PM,C,12.5
16/07/18 10:46:00 PM,C,12.5
16/07/18 11:16:00 PM,C,12.5
16/07/18 11:46:00 PM,C,12.5
17/07/18 12:16:00 AM,C,12.5
17/07/18 12:46:00 AM,C,12.5
17/07/18 1:16:00 AM,C,12.5
17/07/18 1:46:00 AM,C,12.5
17/07/18 2:16:00 AM,C,12.5
17/07/18 2:46:00 AM,C,13
17/07/18 3:16:00 AM,C,13
17/07/18 3:46:00 AM,C,13
17/07/18 4:16:00 AM,C,13
17/07/18 4:46:00 AM,C,13
17/07/18 5:16:00 AM,C,13
17/07/18 5:46:00 AM,C,13
17/07/18 6:16:00 AM,C,13
17/07/18 6:46:00 AM,C,13
17/07/18 7:16:00 AM,C,13
17/07/18 7:46:00 AM,C,13
17/07/18 8:16:00 AM,C,13
17/07/18 8:46:00 AM,C,13
17/07/18 9:16:00 AM,C,12.5
17/07/18 9:46:00 AM,C,13
17/07/18 10:16:00 AM,C,13
17/07/18 10:46:00 AM,C,13.5
17/07/18 11:16:00 AM,C,13.5
17/07/18 11:46:00 AM,C,14
17/07/18 12:16:00 PM,C,13.5
17/07/18 12:46:00 PM,C,14
17/07/18 1:16:00 PM,C,20
17/07/18 1:46:00 PM,C,24
17/07/18 2:16:00 PM,C,25
17/07/18 2:46:00 PM,C,25
17/07/18 3:16:00 PM,C,24.5
17/07/18 3:46:00 PM,C,25
17/07/18 4:16:00 PM,C,20
17/07/18 4:46:00 PM,C,15
17/07/18 5:16:00 PM,C,14
17/07/18 5:46:00 PM,C,14
17/07/18 6:16:00 PM,C,14
17/07/18 6:46:00 PM,C,14
17/07/18 7:16:00 PM,C,13.5
17/07/18 7:46:00 PM,C,13
17/07/18 8:16:00 PM,C,13
17/07/18 8:46:00 PM,C,13
17/07/18 9:16:00 PM,C,12
17/07/18 9:46:00 PM,C,12.5
17/07/18 10:16:00 PM,C,11.5
17/07/18 10:46:00 PM,C,12.5
17/07/18 11:16:00 PM,C,12.5
17/07/18 11:46:00 PM,C,12.5
18/07/18 12:16:00 AM,C,12.5
18/07/18 12:46:00 AM,C,12.5
18/07/18 1:16:00 AM,C,12.5
18/07/18 1:46:00 AM,C,12.5
18/07/18 2:16:00 AM,C,12.5
18/07/18 2:46:00 AM,C,12.5
18/07/18 3:16:00 AM,C,13
18/07/18 3:46:00 AM,C,13
18/07/18 4:16:00 AM,C,13
18/07/18 4:46:00 AM,C,13
18/07/18 5:16:00 AM,C,13
18/07/18 5:46:00 AM,C,13
18/07/18 6:16:00 AM,C,13
18/07/18 6:46:00 AM,C,13
18/07/18 7:16:00 AM,C,13
18/07/18 7:46:00 AM,C,12.5
18/07/18 8:16:00 AM,C,12.5
18/07/18 8:46:00 AM,C,12.5
18/07/18 9:16:00 AM,C,12.5
18/07/18 9:46:00 AM,C,12.5
18/07/18 10:16:00 AM,C,12.5
18/07/18 10:46:00 AM,C,13
18/07/18 11:16:00 AM,C,12.5
18/07/18 11:46:00 AM,C,13
18/07/18 12:16:00 PM,C,13.5
18/07/18 12:46:00 PM,C,13.5
18/07/18 1:16:00 PM,C,13.5
18/07/18 1:46:00 PM,C,13.5
18/07/18 2:16:00 PM,C,14
18/07/18 2:46:00 PM,C,14
18/07/18 3:16:00 PM,C,14
18/07/18 3:46:00 PM,C,14.5
18/07/18 4:16:00 PM,C,14.5
18/07/18 4:46:00 PM,C,14.5
18/07/18 5:16:00 PM,C,14.5
18/07/18 5:46:00 PM,C,15
18/07/18 6:16:00 PM,C,15
18/07/18 6:46:00 PM,C,15
18/07/18 7:16:00 PM,C,15
18/07/18 7:46:00 PM,C,13.5
18/07/18 8:16:00 PM,C,12.5
18/07/18 8:46:00 PM,C,14
18/07/18 9:16:00 PM,C,14
18/07/18 9:46:00 PM,C,14
18/07/18 10:16:00 PM,C,13
18/07/18 10:46:00 PM,C,13
18/07/18 11:16:00 PM,C,12.5
18/07/18 11:46:00 PM,C,13
19/07/18 12:16:00 AM,C,13
19/07/18 12:46:00 AM,C,13
19/07/18 1:16:00 AM,C,13
19/07/18 1:46:00 AM,C,13
19/07/18 2:16:00 AM,C,13
19/07/18 2:46:00 AM,C,12.5
19/07/18 3:16:00 AM,C,13
19/07/18 3:46:00 AM,C,13
19/07/18 4:16:00 AM,C,13
19/07/18 4:46:00 AM,C,13
19/07/18 5:16:00 AM,C,13
19/07/18 5:46:00 AM,C,12.5
19/07/18 6:16:00 AM,C,12.5
19/07/18 6:46:00 AM,C,12.5
19/07/18 7:16:00 AM,C,13
19/07/18 7:46:00 AM,C,13
19/07/18 8:16:00 AM,C,12.5
19/07/18 8:46:00 AM,C,12.5
19/07/18 9:16:00 AM,C,12.5
19/07/18 9:46:00 AM,C,12.5
19/07/18 10:16:00 AM,C,12.5
19/07/18 10:46:00 AM,C,12.5
19/07/18 11:16:00 AM,C,13
19/07/18 11:46:00 AM,C,13
19/07/18 12:16:00 PM,C,13
19/07/18 12:46:00 PM,C,12.5
19/07/18 1:16:00 PM,C,12.5
19/07/18 1:46:00 PM,C,13
19/07/18 2:16:00 PM,C,13
19/07/18 2:46:00 PM,C,14
19/07/18 3:16:00 PM,C,13.5
19/07/18 3:46:00 PM,C,14
19/07/18 4:16:00 PM,C,13.5
19/07/18 4:46:00 PM,C,14
19/07/18 5:16:00 PM,C,14
19/07/18 5:46:00 PM,C,14
19/07/18 6:16:00 PM,C,14
19/07/18 6:46:00 PM,C,14
19/07/18 7:16:00 PM,C,14
19/07/18 7:46:00 PM,C,14
19/07/18 8:16:00 PM,C,14
19/07/18 8:46:00 PM,C,14
19/07/18 9:16:00 PM,C,14
19/07/18 9:46:00 PM,C,14
19/07/18 10:16:00 PM,C,13.5
19/07/18 10:46:00 PM,C,13.5
19/07/18 11:16:00 PM,C,13.5
19/07/18 11:46:00 PM,C,13.5
20/07/18 12:16:00 AM,C,13
20/07/18 12:46:00 AM,C,12.5
20/07/18 1:16:00 AM,C,13
20/07/18 1:46:00 AM,C,12.5
20/07/18 2:16:00 AM,C,13
20/07/18 2:46:00 AM,C,13
20/07/18 3:16:00 AM,C,13
20/07/18 3:46:00 AM,C,13
20/07/18 4:16:00 AM,C,13
20/07/18 4:46:00 AM,C,12.5
20/07/18 5:16:00 AM,C,13
20/07/18 5:46:00 AM,C,13
20/07/18 6:16:00 AM,C,13
20/07/18 6:46:00 AM,C,13
20/07/18 7:16:00 AM,C,13
20/07/18 7:46:00 AM,C,13
20/07/18 8:16:00 AM,C,13
20/07/18 8:46:00 AM,C,13
20/07/18 9:16:00 AM,C,13.5
20/07/18 9:46:00 AM,C,13
20/07/18 10:16:00 AM,C,13.5
20/07/18 10:46:00 AM,C,13.5
20/07/18 11:16:00 AM,C,13.5
20/07/18 11:46:00 AM,C,13.5
20/07/18 12:16:00 PM,C,13
20/07/18 12:46:00 PM,C,13
20/07/18 1:16:00 PM,C,13
20/07/18 1:46:00 PM,C,13
20/07/18 2:16:00 PM,C,13.5
20/07/18 2:46:00 PM,C,14
20/07/18 3:16:00 PM,C,14.5
20/07/18 3:46:00 PM,C,14.5
20/07/18 4:16:00 PM,C,14
20/07/18 4:46:00 PM,C,14.5
20/07/18 5:16:00 PM,C,14.5
20/07/18 5:46:00 PM,C,15
20/07/18 6:16:00 PM,C,15
20/07/18 6:46:00 PM,C,15
20/07/18 7:16:00 PM,C,14.5
20/07/18 7:46:00 PM,C,14.5
20/07/18 8:16:00 PM,C,14
20/07/18 8:46:00 PM,C,14
20/07/18 9:16:00 PM,C,14
20/07/18 9:46:00 PM,C,14
20/07/18 10:16:00 PM,C,14
20/07/18 10:46:00 PM,C,14
20/07/18 11:16:00 PM,C,14
20/07/18 11:46:00 PM,C,14
21/07/18 12:16:00 AM,C,14
21/07/18 12:46:00 AM,C,14
21/07/18 1:16:00 AM,C,13.5
21/07/18 1:46:00 AM,C,13.5
21/07/18 2:16:00 AM,C,13.5
21/07/18 2:46:00 AM,C,13.5
21/07/18 3:16:00 AM,C,13.5
21/07/18 3:46:00 AM,C,13.5
21/07/18 4:16:00 AM,C,13.5
21/07/18 4:46:00 AM,C,13.5
21/07/18 5:16:00 AM,C,14
21/07/18 5:46:00 AM,C,13.5
21/07/18 6:16:00 AM,C,13.5
21/07/18 6:46:00 AM,C,13.5
21/07/18 7:16:00 AM,C,13.5
21/07/18 7:46:00 AM,C,13.5
21/07/18 8:16:00 AM,C,14
21/07/18 8:46:00 AM,C,14
21/07/18 9:16:00 AM,C,14
21/07/18 9:46:00 AM,C,14.5
21/07/18 10:16:00 AM,C,14.5
21/07/18 10:46:00 AM,C,14.5
21/07/18 11:16:00 AM,C,14
21/07/18 11:46:00 AM,C,14.5
21/07/18 12:16:00 PM,C,14
21/07/18 12:46:00 PM,C,14
21/07/18 1:16:00 PM,C,14
21/07/18 1:46:00 PM,C,14.5
21/07/18 2:16:00 PM,C,13.5
21/07/18 2:46:00 PM,C,13.5
21/07/18 3:16:00 PM,C,13.5
21/07/18 3:46:00 PM,C,13.5
21/07/18 4:16:00 PM,C,13.5
21/07/18 4:46:00 PM,C,13.5
21/07/18 5:16:00 PM,C,14
21/07/18 5:46:00 PM,C,14
21/07/18 6:16:00 PM,C,14
21/07/18 6:46:00 PM,C,14
21/07/18 7:16:00 PM,C,14.5
21/07/18 7:46:00 PM,C,14.5
21/07/18 8:16:00 PM,C,15
21/07/18 8:46:00 PM,C,15
21/07/18 9:16:00 PM,C,14.5
21/07/18 9:46:00 PM,C,14.5
21/07/18 10:16:00 PM,C,14
21/07/18 10:46:00 PM,C,14.5
21/07/18 11:16:00 PM,C,14.5
21/07/18 11:46:00 PM,C,14.5
22/07/18 12:16:00 AM,C,14.5
22/07/18 12:46:00 AM,C,14
22/07/18 1:16:00 AM,C,14
22/07/18 1:46:00 AM,C,14
22/07/18 2:16:00 AM,C,14
22/07/18 2:46:00 AM,C,14.5
22/07/18 3:16:00 AM,C,14
22/07/18 3:46:00 AM,C,14
22/07/18 4:16:00 AM,C,14
22/07/18 4:46:00 AM,C,14
22/07/18 5:16:00 AM,C,14
22/07/18 5:46:00 AM,C,14
22/07/18 6:16:00 AM,C,14
22/07/18 6:46:00 AM,C,14
22/07/18 7:16:00 AM,C,14
22/07/18 7:46:00 AM,C,14
22/07/18 8:16:00 AM,C,14.5
22/07/18 8:46:00 AM,C,15
22/07/18 9:16:00 AM,C,15.5
22/07/18 9:46:00 AM,C,16
22/07/18 10:16:00 AM,C,16
22/07/18 10:46:00 AM,C,16
22/07/18 11:16:00 AM,C,15
22/07/18 11:46:00 AM,C,15
22/07/18 12:16:00 PM,C,15.5
22/07/18 12:46:00 PM,C,15.5
22/07/18 1:16:00 PM,C,15.5
22/07/18 1:46:00 PM,C,16
22/07/18 2:16:00 PM,C,16.5
22/07/18 2:46:00 PM,C,15.5
22/07/18 3:16:00 PM,C,15.5
22/07/18 3:46:00 PM,C,15
22/07/18 4:16:00 PM,C,15
22/07/18 4:46:00 PM,C,15
22/07/18 5:16:00 PM,C,14.5
22/07/18 5:46:00 PM,C,14.5
22/07/18 6:16:00 PM,C,14.5
22/07/18 6:46:00 PM,C,14.5
22/07/18 7:16:00 PM,C,14
22/07/18 7:46:00 PM,C,14
22/07/18 8:16:00 PM,C,14
22/07/18 8:46:00 PM,C,14.5
22/07/18 9:16:00 PM,C,14.5
22/07/18 9:46:00 PM,C,14.5
22/07/18 10:16:00 PM,C,14.5
22/07/18 10:46:00 PM,C,14.5
22/07/18 11:16:00 PM,C,14.5
22/07/18 11:46:00 PM,C,14
23/07/18 12:16:00 AM,C,14
23/07/18 12:46:00 AM,C,14
23/07/18 1:16:00 AM,C,14
23/07/18 1:46:00 AM,C,14.5
23/07/18 2:16:00 AM,C,14
23/07/18 2:46:00 AM,C,14
23/07/18 3:16:00 AM,C,14.5
23/07/18 3:46:00 AM,C,14.5
23/07/18 4:16:00 AM,C,14
23/07/18 4:46:00 AM,C,14
23/07/18 5:16:00 AM,C,14
23/07/18 5:46:00 AM,C,14
23/07/18 6:16:00 AM,C,14
23/07/18 6:46:00 AM,C,14
23/07/18 7:16:00 AM,C,14
23/07/18 7:46:00 AM,C,14
23/07/18 8:16:00 AM,C,14
23/07/18 8:46:00 AM,C,14
23/07/18 9:16:00 AM,C,14.5
23/07/18 9:46:00 AM,C,16
23/07/18 10:16:00 AM,C,18
23/07/18 10:46:00 AM,C,19.5
23/07/18 11:16:00 AM,C,16.5
23/07/18 11:46:00 AM,C,15.5
23/07/18 12:16:00 PM,C,15.5
23/07/18 12:46:00 PM,C,16.5
23/07/18 1:16:00 PM,C,17
23/07/18 1:46:00 PM,C,17
23/07/18 2:16:00 PM,C,16
23/07/18 2:46:00 PM,C,16
23/07/18 3:16:00 PM,C,14.5
23/07/18 3:46:00 PM,C,14
23/07/18 4:16:00 PM,C,14.5
23/07/18 4:46:00 PM,C,14.5
23/07/18 5:16:00 PM,C,14.5
23/07/18 5:46:00 PM,C,14.5
23/07/18 6:16:00 PM,C,14.5
23/07/18 6:46:00 PM,C,14
23/07/18 7:16:00 PM,C,14.5
23/07/18 7:46:00 PM,C,14
23/07/18 8:16:00 PM,C,14
23/07/18 8:46:00 PM,C,14
23/07/18 9:16:00 PM,C,14
23/07/18 9:46:00 PM,C,14
23/07/18 10:16:00 PM,C,14
23/07/18 10:46:00 PM,C,14
23/07/18 11:16:00 PM,C,14
23/07/18 11:46:00 PM,C,13.5
24/07/18 12:16:00 AM,C,14
24/07/18 12:46:00 AM,C,14
24/07/18 1:16:00 AM,C,13.5
24/07/18 1:46:00 AM,C,13.5
24/07/18 2:16:00 AM,C,13.5
24/07/18 2:46:00 AM,C,13.5
24/07/18 3:16:00 AM,C,13.5
24/07/18 3:46:00 AM,C,14
24/07/18 4:16:00 AM,C,14
24/07/18 4:46:00 AM,C,14
24/07/18 5:16:00 AM,C,14.5
24/07/18 5:46:00 AM,C,14
24/07/18 6:16:00 AM,C,14
24/07/18 6:46:00 AM,C,14
24/07/18 7:16:00 AM,C,14
24/07/18 7:46:00 AM,C,14
24/07/18 8:16:00 AM,C,14
24/07/18 8:46:00 AM,C,14.5
24/07/18 9:16:00 AM,C,14.5
24/07/18 9:46:00 AM,C,15
24/07/18 10:16:00 AM,C,16.5
24/07/18 10:46:00 AM,C,21
24/07/18 11:16:00 AM,C,18.5
24/07/18 11:46:00 AM,C,18.5
24/07/18 12:16:00 PM,C,16
24/07/18 12:46:00 PM,C,16
24/07/18 1:16:00 PM,C,16.5
24/07/18 1:46:00 PM,C,16.5
24/07/18 2:16:00 PM,C,15.5
24/07/18 2:46:00 PM,C,15
24/07/18 3:16:00 PM,C,14.5
24/07/18 3:46:00 PM,C,14.5
24/07/18 4:16:00 PM,C,14.5
24/07/18 4:46:00 PM,C,14
24/07/18 5:16:00 PM,C,14.5
24/07/18 5:46:00 PM,C,14
24/07/18 6:16:00 PM,C,14
24/07/18 6:46:00 PM,C,14
24/07/18 7:16:00 PM,C,14
24/07/18 7:46:00 PM,C,14
24/07/18 8:16:00 PM,C,14.5
24/07/18 8:46:00 PM,C,14.5
24/07/18 9:16:00 PM,C,14
24/07/18 9:46:00 PM,C,14.5
24/07/18 10:16:00 PM,C,14
24/07/18 10:46:00 PM,C,14
24/07/18 11:16:00 PM,C,14
24/07/18 11:46:00 PM,C,14
25/07/18 12:16:00 AM,C,14
25/07/18 12:46:00 AM,C,14
25/07/18 1:16:00 AM,C,14
25/07/18 1:46:00 AM,C,14
25/07/18 2:16:00 AM,C,14
25/07/18 2:46:00 AM,C,13.5
25/07/18 3:16:00 AM,C,14
25/07/18 3:46:00 AM,C,13.5
25/07/18 4:16:00 AM,C,13.5
25/07/18 4:46:00 AM,C,13.5
25/07/18 5:16:00 AM,C,13.5
25/07/18 5:46:00 AM,C,13.5
25/07/18 6:16:00 AM,C,13.5
25/07/18 6:46:00 AM,C,13.5
25/07/18 7:16:00 AM,C,13.5
25/07/18 7:46:00 AM,C,13.5
25/07/18 8:16:00 AM,C,14
25/07/18 8:46:00 AM,C,14
25/07/18 9:16:00 AM,C,14.5
25/07/18 9:46:00 AM,C,14.5
25/07/18 10:16:00 AM,C,16
25/07/18 10:46:00 AM,C,21.5
25/07/18 11:16:00 AM,C,22.5
25/07/18 11:46:00 AM,C,23.5
25/07/18 12:16:00 PM,C,25
25/07/18 12:46:00 PM,C,15.5
25/07/18 1:16:00 PM,C,15.5
25/07/18 1:46:00 PM,C,15.5
25/07/18 2:16:00 PM,C,15.5
25/07/18 2:46:00 PM,C,15.5
25/07/18 3:16:00 PM,C,15
25/07/18 3:46:00 PM,C,15
25/07/18 4:16:00 PM,C,14.5
25/07/18 4:46:00 PM,C,13.5
25/07/18 5:16:00 PM,C,13.5
25/07/18 5:46:00 PM,C,13.5
25/07/18 6:16:00 PM,C,14
25/07/18 6:46:00 PM,C,14
25/07/18 7:16:00 PM,C,13.5
25/07/18 7:46:00 PM,C,14
25/07/18 8:16:00 PM,C,14
25/07/18 8:46:00 PM,C,13.5
25/07/18 9:16:00 PM,C,13.5
25/07/18 9:46:00 PM,C,13.5
25/07/18 10:16:00 PM,C,13.5
25/07/18 10:46:00 PM,C,13.5
25/07/18 11:16:00 PM,C,13.5
25/07/18 11:46:00 PM,C,14
26/07/18 12:16:00 AM,C,13.5
26/07/18 12:46:00 AM,C,13.5
26/07/18 1:16:00 AM,C,14
26/07/18 1:46:00 AM,C,14
26/07/18 2:16:00 AM,C,14
26/07/18 2:46:00 AM,C,13.5
26/07/18 3:16:00 AM,C,13.5
26/07/18 3:46:00 AM,C,13.5
26/07/18 4:16:00 AM,C,13.5
26/07/18 4:46:00 AM,C,13.5
26/07/18 5:16:00 AM,C,13.5
26/07/18 5:46:00 AM,C,13.5
26/07/18 6:16:00 AM,C,13.5
26/07/18 6:46:00 AM,C,13.5
26/07/18 7:16:00 AM,C,13.5
26/07/18 7:46:00 AM,C,13.5
26/07/18 8:16:00 AM,C,14
26/07/18 8:46:00 AM,C,14
26/07/18 9:16:00 AM,C,14.5
26/07/18 9:46:00 AM,C,14.5
26/07/18 10:16:00 AM,C,15.5
26/07/18 10:46:00 AM,C,21.5
26/07/18 11:16:00 AM,C,25
26/07/18 11:46:00 AM,C,26
26/07/18 12:16:00 PM,C,28.5
26/07/18 12:46:00 PM,C,29.5
26/07/18 1:16:00 PM,C,23.5
26/07/18 1:46:00 PM,C,16.5
26/07/18 2:16:00 PM,C,15.5
26/07/18 2:46:00 PM,C,15.5
26/07/18 3:16:00 PM,C,14.5
26/07/18 3:46:00 PM,C,14
26/07/18 4:16:00 PM,C,14
26/07/18 4:46:00 PM,C,14
26/07/18 5:16:00 PM,C,14
26/07/18 5:46:00 PM,C,14
26/07/18 6:16:00 PM,C,13.5
26/07/18 6:46:00 PM,C,13.5
26/07/18 7:16:00 PM,C,13.5
26/07/18 7:46:00 PM,C,13
26/07/18 8:16:00 PM,C,13.5
26/07/18 8:46:00 PM,C,13.5
26/07/18 9:16:00 PM,C,13.5
26/07/18 9:46:00 PM,C,13.5
26/07/18 10:16:00 PM,C,13.5
26/07/18 10:46:00 PM,C,13.5
26/07/18 11:16:00 PM,C,14
26/07/18 11:46:00 PM,C,14
27/07/18 12:16:00 AM,C,13.5
27/07/18 12:46:00 AM,C,14
27/07/18 1:16:00 AM,C,14
27/07/18 1:46:00 AM,C,14
27/07/18 2:16:00 AM,C,14
27/07/18 2:46:00 AM,C,14
27/07/18 3:16:00 AM,C,14
27/07/18 3:46:00 AM,C,14
27/07/18 4:16:00 AM,C,14
27/07/18 4:46:00 AM,C,14
27/07/18 5:16:00 AM,C,14
27/07/18 5:46:00 AM,C,14
27/07/18 6:16:00 AM,C,14
27/07/18 6:46:00 AM,C,14
27/07/18 7:16:00 AM,C,14
27/07/18 7:46:00 AM,C,14
27/07/18 8:16:00 AM,C,14.5
27/07/18 8:46:00 AM,C,14.5
