1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 74000000409F4521
Is Mission Active?  true
Mission Start:  Sat Jun 23 12:36:00 PDT 2018
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  14009
Total Samples:  14041
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
23/06/18 12:36:00 PM,C,12.5
23/06/18 1:06:00 PM,C,12.5
23/06/18 1:36:00 PM,C,12.5
23/06/18 2:06:00 PM,C,12
23/06/18 2:36:00 PM,C,13
23/06/18 3:06:00 PM,C,12
23/06/18 3:36:00 PM,C,13
23/06/18 4:06:00 PM,C,12.5
23/06/18 4:36:00 PM,C,12.5
23/06/18 5:06:00 PM,C,12
23/06/18 5:36:00 PM,C,12.5
23/06/18 6:06:00 PM,C,13
23/06/18 6:36:00 PM,C,13
23/06/18 7:06:00 PM,C,13
23/06/18 7:36:00 PM,C,13
23/06/18 8:06:00 PM,C,12.5
23/06/18 8:36:00 PM,C,13
23/06/18 9:06:00 PM,C,13
23/06/18 9:36:00 PM,C,13
23/06/18 10:06:00 PM,C,13
23/06/18 10:36:00 PM,C,13
23/06/18 11:06:00 PM,C,13
23/06/18 11:36:00 PM,C,13
24/06/18 12:06:00 AM,C,13
24/06/18 12:36:00 AM,C,13
24/06/18 1:06:00 AM,C,12.5
24/06/18 1:36:00 AM,C,12.5
24/06/18 2:06:00 AM,C,12.5
24/06/18 2:36:00 AM,C,12.5
24/06/18 3:06:00 AM,C,12.5
24/06/18 3:36:00 AM,C,12.5
24/06/18 4:06:00 AM,C,12
24/06/18 4:36:00 AM,C,12.5
24/06/18 5:06:00 AM,C,12.5
24/06/18 5:36:00 AM,C,12.5
24/06/18 6:06:00 AM,C,12
24/06/18 6:36:00 AM,C,12.5
24/06/18 7:06:00 AM,C,12.5
24/06/18 7:36:00 AM,C,13
24/06/18 8:06:00 AM,C,15
24/06/18 8:36:00 AM,C,19
24/06/18 9:06:00 AM,C,21.5
24/06/18 9:36:00 AM,C,22
24/06/18 10:06:00 AM,C,24.5
24/06/18 10:36:00 AM,C,26.5
24/06/18 11:06:00 AM,C,25.5
24/06/18 11:36:00 AM,C,29
24/06/18 12:06:00 PM,C,15
24/06/18 12:36:00 PM,C,13.5
24/06/18 1:06:00 PM,C,14
24/06/18 1:36:00 PM,C,13.5
24/06/18 2:06:00 PM,C,13
24/06/18 2:36:00 PM,C,13
24/06/18 3:06:00 PM,C,12
24/06/18 3:36:00 PM,C,11.5
24/06/18 4:06:00 PM,C,12
24/06/18 4:36:00 PM,C,11
24/06/18 5:06:00 PM,C,11.5
24/06/18 5:36:00 PM,C,11.5
24/06/18 6:06:00 PM,C,11.5
24/06/18 6:36:00 PM,C,11.5
24/06/18 7:06:00 PM,C,12
24/06/18 7:36:00 PM,C,11.5
24/06/18 8:06:00 PM,C,12
24/06/18 8:36:00 PM,C,12
24/06/18 9:06:00 PM,C,12
24/06/18 9:36:00 PM,C,12
24/06/18 10:06:00 PM,C,12
24/06/18 10:36:00 PM,C,12
24/06/18 11:06:00 PM,C,12
24/06/18 11:36:00 PM,C,12
25/06/18 12:06:00 AM,C,12
25/06/18 12:36:00 AM,C,12
25/06/18 1:06:00 AM,C,12
25/06/18 1:36:00 AM,C,12
25/06/18 2:06:00 AM,C,12
25/06/18 2:36:00 AM,C,12
25/06/18 3:06:00 AM,C,12
25/06/18 3:36:00 AM,C,12
25/06/18 4:06:00 AM,C,12
25/06/18 4:36:00 AM,C,12
25/06/18 5:06:00 AM,C,12
25/06/18 5:36:00 AM,C,12
25/06/18 6:06:00 AM,C,12
25/06/18 6:36:00 AM,C,12
25/06/18 7:06:00 AM,C,12
25/06/18 7:36:00 AM,C,12
25/06/18 8:06:00 AM,C,16.5
25/06/18 8:36:00 AM,C,18
25/06/18 9:06:00 AM,C,22
25/06/18 9:36:00 AM,C,24
25/06/18 10:06:00 AM,C,24
25/06/18 10:36:00 AM,C,27
25/06/18 11:06:00 AM,C,28
25/06/18 11:36:00 AM,C,21.5
25/06/18 12:06:00 PM,C,21.5
25/06/18 12:36:00 PM,C,17
25/06/18 1:06:00 PM,C,14
25/06/18 1:36:00 PM,C,14
25/06/18 2:06:00 PM,C,13.5
25/06/18 2:36:00 PM,C,14
25/06/18 3:06:00 PM,C,12.5
25/06/18 3:36:00 PM,C,13
25/06/18 4:06:00 PM,C,12.5
25/06/18 4:36:00 PM,C,12
25/06/18 5:06:00 PM,C,12
25/06/18 5:36:00 PM,C,11.5
25/06/18 6:06:00 PM,C,12
25/06/18 6:36:00 PM,C,12
25/06/18 7:06:00 PM,C,12
25/06/18 7:36:00 PM,C,12
25/06/18 8:06:00 PM,C,12
25/06/18 8:36:00 PM,C,12
25/06/18 9:06:00 PM,C,12
25/06/18 9:36:00 PM,C,12
25/06/18 10:06:00 PM,C,12
25/06/18 10:36:00 PM,C,12
25/06/18 11:06:00 PM,C,12
25/06/18 11:36:00 PM,C,12
26/06/18 12:06:00 AM,C,12
26/06/18 12:36:00 AM,C,12
26/06/18 1:06:00 AM,C,12
26/06/18 1:36:00 AM,C,12
26/06/18 2:06:00 AM,C,12
26/06/18 2:36:00 AM,C,12
26/06/18 3:06:00 AM,C,12
26/06/18 3:36:00 AM,C,12
26/06/18 4:06:00 AM,C,12
26/06/18 4:36:00 AM,C,12
26/06/18 5:06:00 AM,C,12
26/06/18 5:36:00 AM,C,12
26/06/18 6:06:00 AM,C,12
26/06/18 6:36:00 AM,C,12
26/06/18 7:06:00 AM,C,12
26/06/18 7:36:00 AM,C,12
26/06/18 8:06:00 AM,C,13.5
26/06/18 8:36:00 AM,C,19.5
26/06/18 9:06:00 AM,C,24
26/06/18 9:36:00 AM,C,19.5
26/06/18 10:06:00 AM,C,20
26/06/18 10:36:00 AM,C,23.5
26/06/18 11:06:00 AM,C,29
26/06/18 11:36:00 AM,C,27
26/06/18 12:06:00 PM,C,27
26/06/18 12:36:00 PM,C,32
26/06/18 1:06:00 PM,C,33
26/06/18 1:36:00 PM,C,19.5
26/06/18 2:06:00 PM,C,14
26/06/18 2:36:00 PM,C,13.5
26/06/18 3:06:00 PM,C,13.5
26/06/18 3:36:00 PM,C,13
26/06/18 4:06:00 PM,C,12.5
